Launch Date,Launch Site,Payload,Orbit,Customer,Launch Outcome
[,,,,,"Following second-stage separation, SpaceX attempted to return the first stage for the first time to a 90 m × 50 m (300 ft × 160 ft) floating platform — called the autonomous spaceport drone ship. The test achieved many objectives and returned a large amount of data, but the grid-fin control surfaces used for the first time for more precise reentry positioning ran out of hydraulic fluid for its control system a minute before landing, resulting in a landing crash.[71]"
[,"Cape Canaveral,LC-40",DSCOVR[68][73],"570 kg (1,260 lb)",HEO(Sun–Earth L1 insertion),Controlled(ocean)[d]
[,,,,,"First launch under USAF's OSP 3 launch contract.[74] First SpaceX launch to put a satellite beyond a geostationary transfer orbit, first SpaceX launch into interplanetary space, and first SpaceX launch of an American research satellite. The first stage made a test flight descent to an over-ocean landing within 10 m (33 ft) of its intended target.[75]"
[,"Cape Canaveral,LC-40","ABS-3A
Eutelsat 115 West B[68]","4,159 kg (9,169 lb)",GTO,No attempt[77]
[,,,,,"The launch was Boeing's first conjoined launch of a lighter-weight dual-commsat stack that was specifically designed to take advantage of the lower-cost SpaceX Falcon 9 launch vehicle.[78][79] Per satellite, launch costs were less than US$30 million.[80] The ABS satellite reached its final destination ahead of schedule and started operations on 10 September 2015.[81]"
[,"Cape Canaveral,LC-40",SpaceX CRS-6[68](Dragon C108.1),"1,898 kg (4,184 lb)[82]",LEO (ISS),Failure[83](drone ship)
[,,,,,"After second-stage separation, a controlled-descent test was attempted with the first stage. After the booster contacted the ship, it tipped over due to excess lateral velocity caused by a stuck throttle valve that delayed downthrottle at the correct time.[84][85]"
[,"Cape Canaveral,LC-40",TürkmenÄlem 52°E / MonacoSAT[68][87],"4,707 kg (10,377 lb)",GTO,No attempt[89]
[,,,,,Original intended launch was delayed over a month after an issue with the helium pressurisation system was identified on similar parts in the assembly plant.[90] Subsequent launch successfully positioned this first Turkmen satellite at 52.0° east.
[,"Cape Canaveral,LC-40",SpaceX CRS-7[68](Dragon C109),"1,952 kg (4,303 lb)[92]",LEO (ISS),Precluded[94](drone ship)
[,,,,,"Launch performance was nominal until an overpressure incident in the second-stage LOX tank, leading to vehicle breakup at T+150 seconds. Dragon capsule survived the explosion but was lost upon splashdown as its software did not contain provisions for parachute deployment on launch vehicle failure.[95](more details below) The drone ship Of Course I Still Love You was towed out to sea to prepare for a landing test so this mission was its first operational assignment.[96]"
[,"Cape Canaveral,LC-40",Orbcomm-OG2-2(11 satellites)[22][97],"2,034 kg (4,484 lb)",LEO,Success[99](ground pad)
[,,,,,"Payload included eleven satellites weighing 172 kg (379 lb) each,[24] and a 142 kg (313 lb) mass simulator.[52] First launch of the upgraded v1.1 version, with a 30% power increase.[100] Orbcomm had originally agreed to be the third flight of the enhanced-thrust rocket,[101] but the change to the maiden flight position was announced in October 2015.[100] SpaceX received a permit from the FAA to land the booster on solid ground at Cape Canaveral[102] and succeeded for the first time.[99] This booster, serial number B1019, is now on permanent display outside SpaceX's headquarters in Hawthorne, California, at the intersection of Crenshaw Boulevard and Jack Northrop Avenue.[98] (more details below)"
[,"VAFB,SLC-4E",Jason-3[68][104],"553 kg (1,219 lb)",LEO,Failure(drone ship)
[,,,,,"First launch of NASA and NOAA joint science mission under the NLS II launch contract (not related to NASA CRS or USAF OSP3 contracts) and last launch of the Falcon 9 v1.1 launch vehicle. The Jason-3 satellite was successfully deployed to target orbit.[105]  SpaceX attempted for the first time to recover the first-stage booster on its new Pacific autonomous drone ship, but after a soft landing on the ship, the lockout on one of the landing legs failed to latch and the booster fell over and exploded.[106][107]"
[,"Cape Canaveral,LC-40",SES-9[68][109][110],"5,271 kg (11,621 lb)",GTO,Failure(drone ship)
[,,,,,"Second launch of the enhanced Falcon 9 Full Thrust launch vehicle.[100] SpaceX attempted for the first time to recover a booster from a GTO launch to a drone ship.[111] Successful landing was not expected due to low fuel reserves[112] and the booster ""landed hard"".[113] But the controlled-descent, atmospheric re-entry and navigation to the drone ship were successful and returned significant test data on bringing back high-energy Falcon 9 boosters.[114]"
[,"Cape Canaveral,LC-40",SpaceX CRS-8[68][110](Dragon C110.1),"3,136 kg (6,914 lb)[116]",LEO (ISS),Success[118](drone ship)
[,,,,,"Dragon carried over 1,500 kg (3,300 lb) of supplies and delivered the inflatable Bigelow Expandable Activity Module (BEAM) to the ISS for two years of in-orbit tests.[119] The rocket's first stage landed smoothly on SpaceX's autonomous spaceport drone ship at 9 minutes after liftoff, making this the first successful landing of a rocket booster on a ship at sea from an orbital launch.[120] The first stage B1021 later became the first orbital booster to be reused when it launched SES-10 on 30 March 2017.[115] A month later, the Dragon spacecraft returned a downmass containing astronaut's Scott Kelly biological samples from his year-long mission on ISS.[121](more details below)"
[,"Cape Canaveral,LC-40",JCSAT-14[123],"4,696 kg (10,353 lb)[124]",GTO,Success(drone ship)
[,,,,,"First time SpaceX launched a Japanese satellite, and first time a booster landed successfully after launching a payload into a GTO.[125] As this flight profile has a smaller margin for the booster recovery, the first stage re-entered Earth's atmosphere faster than for previous landings, with five times the heating power.[126][127]"
[,"Cape Canaveral,LC-40",Thaicom 8[130][131],"3,100 kg (6,800 lb)[132]",GTO,Success[133](drone ship)
[,,,,,"Second successful return from a GTO launch,[134] after launching Thaicom 8 towards 78.5° east.[135] Later became the first booster to be reflown after being recovered from a GTO launch. THAICOM 8 was delivered to a Super-Synchronous Transfer Orbit of 91,000 km (57,000 mi).[136]"
[,"Cape Canaveral,LC-40","ABS-2A
Eutelsat 117 West B[68]","3,600 kg (7,900 lb)",GTO,Failure[64](drone ship)
[,,,,,"One year after pioneering this technique on Flight 16, Falcon again launched two Boeing 702SP gridded ion thruster satellites at 1,800 kg (4,000 lb) each,[137][138] in a dual-stack configuration, with the two customers sharing the rocket and mission costs.[81] First-stage landing attempt on drone ship failed due to low thrust on one of the three landing engines;[139] a sub-optimal path led to the stage running out of propellant just above the deck of the landing ship.[140]"
[,"Cape Canaveral,LC-40",SpaceX CRS-9[68][141](Dragon C111.1),"2,257 kg (4,976 lb)[142]",LEO (ISS),Success(ground pad)
[,,,,,"Cargo to ISS included an International Docking Adapter (IDA-2) and total payload with reusable Dragon Capsule was 6,457 kg (14,235 lb). Second successful first-stage landing on a ground pad.[143]"
,"Cape Canaveral,LC-40",JCSAT-16,"4,600 kg (10,100 lb)",GTO,Success(drone ship)
[,,,,,"First attempt to land from a ballistic trajectory using a single-engine landing burn, as all previous landings from a ballistic trajectory had fired three engines on the final burn. The latter provides more braking force but subjects the vehicle to greater structural stresses, while the single-engine landing burn takes more time and fuel while allowing more time during final descent for corrections.[144]"
[,"Cape Canaveral,LC-40",Amos-6[146],"5,500 kg (12,100 lb)",GTO,Precluded(drone ship)
[,,,,,"The rocket and the Amos-6 payload were lost in a launch pad explosion on 1 September 2016 during propellant filling procedures prior to a static fire test.[147] The pad was clear of personnel, and there were no injuries.[148] SpaceX released an official statement in January 2017 indicating that the cause of the failure was a buckled liner in several of the Composite overwrapped pressure vessel (COPV) (used to store helium which pressurize the stage's propellant tanks), causing perforations that allowed liquid and/or solid oxygen to accumulate underneath the lining, which was ignited by friction.[149] Following the explosion, SpaceX has switched to performing static fire tests only without attached payloads.(more details below)"
,"VAFB,SLC-4E",Iridium NEXT-1(10 satellites)[152][153],"9,600 kg (21,200 lb)",Polar LEO,Success[154](drone ship)
[,,,,,"Return-to-flight mission after the loss of Amos-6 in September 2016. This was the first launch of a series of Iridium NEXT satellites intended to replace the original Iridium constellation launched in the late 1990s. Each Falcon 9 mission carried 10 satellites, with a goal of 66 plus 9 spare[155] satellites constellation by mid-2018.[156][157] Following the delayed launch of the first two Iridium units with a Dnepr rocket from April 2016, Iridium Communications decided to launch the first batch of 10 satellites with SpaceX instead.[158] Payload comprised ten satellites weighing 860 kg (1,900 lb) each plus a 1,000 kg (2,200 lb) dispenser.[159]"
,"KSC,LC-39A",SpaceX CRS-10[141](Dragon C112.1),"2,490 kg (5,490 lb)[160]",LEO (ISS),Success(ground pad)
[,,,,,"First Falcon 9 flight from the historic LC-39A launchpad at Kennedy Space Center, and first uncrewed launch from LC-39A since Skylab-1.[161] The flight carried supplies and materials to support ISS Expeditions 50 and 51, and third return of first stage booster to landing pad at Cape Canaveral Landing Zone 1.[162]"
,"KSC,LC-39A",EchoStar 23,"5,600 kg (12,300 lb)[164]",GTO,No attempt[165]
[,,,,,"First uncrewed non-station launch from LC-39A since Apollo 6.[161] Launched a communications satellite for broadcast services over Brazil.[166] Due to the payload size launch into a GTO, the booster was expended into the Atlantic Ocean and did not feature landing legs and grid fins.[167]"
,"KSC,LC-39A",SES-10[109][168],"5,300 kg (11,700 lb)[169]",GTO,Success(drone ship)
[,,,,,"First payload to fly on a reused first stage, B1021, previously launched with CRS-8, and first to land intact a second time.[171][170] Additionally, this flight was the first reused rocket to fly from LC-39A since STS-135 and for the first time the payload fairing, used to protect the payload during launch, remained intact after a successful splashdown achieved with thrusters and a steerable parachute.[172][173](more details below)"
,"KSC,LC-39A",NROL-76[174],Classified,LEO[175],Success(ground pad)
[,,,,,"First launch under SpaceX's 2015 certification for national security space missions, which allowed SpaceX to contract launch services for classified payloads,[176] and thus breaking the monopoly United Launch Alliance (ULA) held on classified launches since 2006.[177] For the first time, SpaceX offered continuous livestream of first stage booster from liftoff to landing, but omitted second-stage speed and altitude telemetry.[178]"
,"KSC,LC-39A",Inmarsat-5 F4[180],"6,070 kg (13,380 lb)[181]",GTO,No attempt[165]
[,,,,,"The launch was originally scheduled for the Falcon Heavy, but performance improvements allowed the mission to be carried out by an expendable Falcon 9 instead.[182]  Inmarsat-5 F4 is Inmarsat's ""largest and most complicated communications satellite ever built"".[183] Inmarsat 5 F4 was delivered into an arcing ""supersynchronous"" transfer orbit of 381 km × 68,839 km (237 mi × 42,775 mi) in altitude, tilted 24.5° to the equator.[184]"
,"KSC,LC-39A",SpaceX CRS-11[141](Dragon C106.2 ♺),"2,708 kg (5,970 lb)[186]",LEO (ISS),Success(ground pad)
[,,,,,"This mission delivered Neutron Star Interior Composition Explorer (NICER),[187] Multiple User System for Earth Sensing Facility (MUSES),[188] Roll Out Solar Array (ROSA),[189] an Advanced Plant Habitat to the ISS,[190][191] and Birds-1 payloads. This mission launched for the first time a refurbished Dragon capsule,[192] serial number C106, which had flown in September 2014 on the SpaceX CRS-4 mission,[185] and was the first time since 2011 a reused spacecraft arrived at the ISS.[193] Five cubesats were included in the payload, the first satellites from the countries of Bangladesh (BRAC Onnesha), Ghana (GhanaSat-1), and Mongolia (Mazaalai).[194]"
,"KSC,LC-39A",BulgariaSat-1[196],"3,669 kg (8,089 lb)[197]",GTO,Success(drone ship)
[,,,,,"Second time a booster was reused, as B1029 had flown the Iridium mission in January 2017.[195] This was the first commercial Bulgarian-owned communications satellite.[195]"
,"VAFB,SLC-4E",Iridium NEXT-2(10 satellites),"9,600 kg (21,200 lb)",LEO,Success(drone ship)
[,,,,,"Second Iridium constellation launch of 10 satellites, and first flight using titanium (instead of aluminium) grid fins to improve control authority and better cope with heat during re-entry.[199]"
,"KSC,LC-39A",Intelsat 35e[201],"6,761 kg (14,905 lb)[202]",GTO,No attempt[165]
[,,,,,"Originally expected to be flown on a Falcon Heavy,[203] improvements to the Merlin engines meant that the heavy satellite could be flown to GTO in an expendable configuration of Falcon 9.[204] The rocket achieved a supersynchronous orbit peaking at 43,000 km (27,000 mi), exceeding the minimum requirements of 28,000 km (17,000 mi).[205] Intelsat 35e is the largest Intelsat's currently active satellite.[206]"
,"KSC,LC-39A",SpaceX CRS-12[141](Dragon C113.1),"3,310 kg (7,300 lb)",LEO (ISS),Success(ground pad)
[,,,,,"Dragon carried 2,349 kg (5,179 lb) of pressurized and 961 kg (2,119 lb) unpressurized mass, including the Cosmic Ray Energetics and Mass Experiment (CREAM) detector.[190] First flight of the upgrade known informally as ""Block 4"", which increases thrust from the main engines and includes other small upgrades,[207] and last flight of a newly built Dragon capsule, as further missions are planned to use refurbished spacecraft.[208] Also launched the Educational Launch of Nanosatellites ELaNa 22 mission.[49]"
,"VAFB,SLC-4E",Formosat-5[210][211],"475 kg (1,047 lb)[212]",SSO,Success(drone ship)
[,,,,,"First Earth observation satellite developed and constructed by Taiwan. The payload was much under the rocket's specifications, as the Spaceflight Industries SHERPA space tug had been removed from the cargo manifest of this mission,[213] leading to analyst speculations that with discounts due to delays, SpaceX lost money on the launch.[214]"
[,"KSC,LC-39A",Boeing X-37B OTV-5,"4,990 kg (11,000 lb)[216]+ OTV payload",LEO,Success(ground pad)
[,,,,,"Due to the classified nature of the mission, the second-stage speed and altitude telemetry were omitted from the launch webcast. Notably, the primary contractor, Boeing, had launched the X-37B with ULA, a Boeing partnership and a SpaceX competitor.[217] Second flight of the Falcon 9 Block 4 upgrade.[218]"
,"VAFB,SLC-4E",Iridium NEXT-3(10 satellites)[152],"9,600 kg (21,200 lb)",Polar LEO,Success(drone ship)
[,,,,,"Third flight of the Falcon 9 Block 4 upgrade, and the third launch of 10 Iridium NEXT satellites.[219]"
,"KSC,LC-39A",SES-11 / EchoStar 105,"5,200 kg (11,500 lb)",GTO,Success(drone ship)
[,,,,,"Third reuse and recovery of a previously flown first-stage booster, and the second time the contractor SES used a reflown booster.[220] The large satellite is shared, in ""CondoSat"" arrangement between SES and EchoStar.[221]"
,"KSC,LC-39A",Koreasat 5A[222],"3,500 kg (7,700 lb)",GTO,Success(drone ship)
[,,,,,"First SpaceX launch of a South Korean satellite, placed in GEO at 113.0° east.[223] It was the third launch and land for SpaceX in three weeks, and the 15th successful landing in a row.[224] A small fire was observed under the booster after it landed, leading to speculations about damages to the engines which would preclude it from flying it again.[225]"
[,"Cape Canaveral,SLC-40",SpaceX CRS-13[141](Dragon C108.2 ♺),"2,205 kg (4,861 lb)",LEO (ISS),Success(ground pad)
[,,,,,"First launch to take place at the refurbished pad at Cape Canaveral after the 2016 Amos-6 explosion, and the 20th successful booster landing. Being the second reuse of a Dragon capsule (previously flown on SpaceX CRS-6) and fourth reuse of a booster (previously flown on SpaceX CRS-11) it was the first time both major components were reused on the same flight.[228][227]"
[,"VAFB,SLC-4E",Iridium NEXT-4(10 satellites)[152],"9,600 kg (21,200 lb)",Polar LEO,Controlled(ocean)[d][230]
[,,,,,"In order to avoid delays and convinced of no increased risks, Iridium Communications accepted the use of a recovered booster for its 10 satellites, and became the first customer to fly the same first-stage booster twice (from the second Iridium NEXT mission).[231][232] SpaceX chose not to attempt recovery of the booster, but did perform a soft ocean touchdown.[233] The launch occurred during sunset, which caused a twilight effect where sunlight reflected from the rocket plumes at high altitude, causing ""jaw-dropping views"" across Southern California and surrounding regions.[234]"
[,"CCAFS,SLC-40",Zuma[238][239][240],Classified,LEO,Success(ground pad)
[,,,,,"The mission had been postponed by nearly two months. Following a nominal launch, the recovery of the first-stage booster marked the 17th successful recovery in a row.[242] Rumors appeared that the payload was lost, as the satellite might have failed to separate from the second stage[243] due to a fault in the Northrop Grumman-manufactured payload adapter, to which SpaceX announced that their rocket performed nominally.[243] The classified nature of the mission means that there is little confirmed information.(more details below)"
[,"CCAFS,SLC-40",GovSat-1 (SES-16)[246],"4,230 kg (9,330 lb)[247]",GTO,Controlled(ocean)[d][248]
[,,,,,"Reused booster from the classified NROL-76 mission in May 2017.[245] Following a successful experimental soft ocean landing that used three engines, the booster unexpectedly remained intact. Recovery was talked about and a Craigslist ad believed to be made by Elon Musk jokingly said the booster was for sale at US$9.9 million if the buyer brought their own tugboat.[249] Despite this, recovery was not attempted, and the booster was subsequently destroyed.[250] GovSat-1 satellite was put into a high-energy Supersynchronous Transfer Orbit of 250 km × 51,500 km (160 mi × 32,000 mi).[251][252]"
[,"KSC,LC-39A",Elon Musk's Tesla Roadster[254][255],"~1,250 kg (2,760 lb)[256]",Heliocentric0.99–1.67 AU[256](close to Mars transfer orbit),Failure[257](drone ship)
[,,,,,Success(ground pad)
[,,,,,Success(ground pad)
[,,,,,"Maiden flight of Falcon Heavy, using two recovered Falcon 9 cores as side boosters (from the Thaicom 8[258] and SpaceX CRS-9[129] missions), as well as a modified Block 3 booster reinforced to endure the additional load from the two side boosters. The static fire test, held on 24 January 2018, was the first time 27 engines were tested together.[259] The launch was a success, and the side boosters landed simultaneously at adjacent ground pads.[257] Drone ship landing of the central core failed due to TEA–TEB chemical igniter running out, preventing two of its engines from restarting; the landing failure caused damage to the nearby drone ship.[260][261] Final burn to heliocentric Earth-Mars orbit was performed after the second stage and payload cruised for 6 hours through the Van Allen radiation belts.[262] Later, Elon Musk tweeted that the third burn was successful,[263] and JPL Horizons On-Line Ephemeris System showed the second stage and payload in an orbit with an aphelion of 1.67 AU.[264] The live webcast proved immensely popular, as it became the second most watched livestream so far on YouTube, reaching over 2.3 million concurrent views.[265] Over 100,000 visitors are believed to have come to the Space Coast to watch the launch in person.[266](more details below)"
[,"VAFB,SLC-4E","Paz[269]
Tintin A and Tintin B[270]","2,150 kg (4,740 lb)",SSO,No attempt[271]
[,,,,,"Last flight of a Block 3 first stage. Reused the booster from the Formosat-5 mission.[268] Paz (peace) is Spain's first spy satellite[272] that will be operated in a constellation with the German SAR fleet TSX and TDX.[269] In addition, the rocket carried two SpaceX test satellites for their forthcoming communications network in low Earth orbit.[273][270] This core flew without landing legs and was expended at sea.[273] It also featured an upgraded payload fairing 2.0 with a first recovery attempt using the Mr. Steven crew boat equipped with a net. The fairing narrowly missed the boat, but achieved a soft water landing.[274][275][271]"
[,"CCAFS,SLC-40","Hispasat 30W-6[277]
PODSat[278]","6,092 kg (13,431 lb)[279]",GTO,No attempt[281]
[,,,,,"The Spanish commsat was the largest satellite flown by SpaceX as of March 2018[update], ""nearly the size of a bus"".[282] A drone ship landing was planned, but scrapped due to unfavorable weather conditions.[281] SpaceX left the landing legs and titanium grid fins in place to prevent further delays, after previous concerns with the fairing pressurization and conflicts with the launch of GOES-S.[283] The Hispasat 30W-6 satellite was propelled into a supersynchronous transfer orbit.[284]"
[,"VAFB,SLC-4E",Iridium NEXT-5(10 satellites)[152],"9,600 kg (21,200 lb)",Polar LEO,No attempt[287]
[,,,,,"Fifth Iridium NEXT mission launch of 10 satellites used the refurbished booster from third Iridium flight. As with recent reflown boosters, SpaceX used the controlled descent of the first stage to test more booster recovery options.[288] SpaceX planned a second recovery attempt of one half of the fairing using the specially modified boat Mr. Steven,[289] but the parafoil twisted, which led to the fairing half missing the boat.[290]"
[,"CCAFS,SLC-40",SpaceX CRS-14[141](Dragon C110.2 ♺),"2,647 kg (5,836 lb)[292]",LEO (ISS),No attempt[294]
[,,,,,"The launch used a refurbished booster (from CRS-12) and a refurbished capsule (C110 from CRS-8).[292] External payloads include a materials research platform Materials International Space Station Experiment (MISSE-FF)[295] phase 3 of the Robotic Refueling Mission (RRM)[296] TSIS,[297] ASIM heliophysics sensor,[190] several crystallization experiments,[298] and the RemoveDEBRIS system aimed at space debris removal.[299] The booster was expended, and SpaceX collected more data on reentry profiles.[300] It also carried the first Costa Rican satellite, Project Irazú,[301] and the first Kenyan satellite, 1KUNS-PF.[302]"
[,"CCAFS,SLC-40",Transiting Exoplanet Survey Satellite (TESS)[304],362 kg (798 lb)[305],HEO for P/2 orbit,Success[306](drone ship)
[,,,,,"First NASA high-priority science mission launched by SpaceX. Part of the Explorers program, TESS is space telescope intended for wide-field search of exoplanets transiting nearby stars. It was the first time SpaceX launched a scientific satellite which wasn't designed to focus on Earth observations. The second stage placed the spacecraft into a high elliptical Earth orbit, after which the satellite performed its own maneuvers, including a lunar flyby, such that over the course of two months it reached a stable 2:1 resonant orbit with the Moon.[307] In January 2018, SpaceX received NASA's Launch Services Program Category 2 certification of its Falcon 9 ""Full Thrust"", certification which is required for launching ""medium-risk"" missions like TESS.[308] Last launch of a new Block 4 booster,[309] and the 24th successful recovery of the first stage. An experimental water landing of the launch fairing was performed in order to attempt fairing recovery, primarily as a test of parachute systems.[305][306]"
[,"KSC,LC-39A",Bangabandhu-1[312][313],"3,600 kg (7,900 lb)[314]",GTO,Success[315](drone ship)
[,,,,,"First Block 5 launch vehicle booster to fly. Initially planned for an Ariane 5 launch in December 2017,[316] it became the first Bangladeshi commercial satellite,[317] BRAC Onnesha is a cubesat built by Thales Alenia Space.[318][319] It is intended to serve telecom services from 119.0° east with a lifetime of 15 years.[320] It was the 25th successfully recovered first stage booster.[315]"
[,"VAFB,SLC-4E","Iridium NEXT-6(5 satellites)[152][155]
GRACE-FO × 2[323][324]","6,460 kg (14,240 lb)[g]",Polar LEO,No attempt[165]
[,,,,,Sixth Iridium NEXT mission launching 5 satellites used the refurbished booster from Zuma. GFZ arranged a rideshare of GRACE-FO on a Falcon 9 with Iridium following the cancellation of their Dnepr launch contract in 2015.[323] Iridium CEO Matt Desch disclosed in September 2017 that GRACE-FO would be launched on this mission.[328] The booster reuse turnaround was a record 4.5 months between flights.[329]
[,"CCAFS,SLC-40",SES-12[331],"5,384 kg (11,870 lb)[332]",GTO,No attempt[165]
[,,,,,"The communications satellite serving the Middle East and the Asia-Pacific region at the same place as SES-8, and was the largest satellite built for SES.[331] The Block 4 first stage was expended,[332] while the second stage was a Block 5 version, delivering more power towards a higher supersynchronous transfer orbit with 58,000 km (36,000 mi) apogee.[334]"
[,"CCAFS,SLC-40",SpaceX CRS-15(Dragon C111.2 ♺),"2,697 kg (5,946 lb)[337]",LEO (ISS),No attempt[165]
[,,,,,"Payload included MISSE-FF 2, ECOSTRESS, a Latching End Effector, and Birds-2 payloads. The refurbished booster featured a record 2.5 months period turnaround from its original launch of TESS, a record held until February 2020 with the Starlink L4 mission. The fastest previous was 4.5 months. This was the last flight of a Block 4 booster, which was expended into the Atlantic Ocean without landing legs and grid fins.[339]"
[,"CCAFS,SLC-40",Telstar 19V[341],"7,075 kg (15,598 lb)[342]",GTO[343],Success[344](drone ship)
[,,,,,"SSL-manufactured communications satellite intended to be placed at 63.0° west over the Americas,[345] replacing Telstar 14R.[343] At 7,075 kg (15,598 lb), it became the heaviest commercial communications satellite so far launched.[346][347] This necessitated that the satellite be launched into a lower-energy orbit than a usual GTO, with its initial apogee at roughly 17,900 km (11,100 mi).[343]"
[,"VAFB,SLC-4E",Iridium NEXT-7(10 satellites)[152],"9,600 kg (21,200 lb)",Polar LEO,Success[352](drone ship)
